Media and others shared online on cures for autism vs media warning about them,,,,,,,
,Social Media views,,,,,,
Keywords,Tik Tok,Facebook,Twitter,Websites that sell it,Media and others shared online on curing autism,Media warning of cure discourse,
Essential oils,,,,,,https://www.nytimes.com/2020/04/18/parenting/baby/essential-oils-babies-kids.html,
Glyphosate Herbicide ,,,,,https://healthimpactnews.com/2014/mit-researcher-glyphosate-herbicide-will-cause-half-of-all-children-to-have-autism-by-2025/,,
"Holding therapy, packing",,,,,,https://www.theguardian.com/world/2018/feb/08/france-is-50-years-behind-the-state-scandal-of-french-autism-treatment,
,,,,,,https://www.sciencedirect.com/science/article/pii/S0890856710008890?via%3Dihub,
Hyperbaric oxygen therapy,,,,,,,
Lupron,,,,,,https://www.chicagotribune.com/lifestyles/health/chi-autism-lupron-may21-story.html,
,,,,,,https://www.latimes.com/archives/la-xpm-2009-may-24-na-autism24-story.html,
Lyssinum,,,,,https://www.mikeandrewshomeopathy.co.uk/the-boy-who-stimmed-too-much/,https://www.thetimes.co.uk/article/homeopaths-treat-autistic-children-with-rabid-dog-saliva-v2nscsvxc,
TMS,tms treatment for autism' 25.5M views,,,,,,
Vaccine ,vaccine autism' 9.5B views,,,,http://www.whydontyoutrythis.com/2013/08/courts-quietly-confirm-mmr-vaccine-causes-autism.html,https://www.huffpost.com/entry/mmr-vaccine-autism_n_7109142,
Vaccine ,,,,,https://trueactivist.com/courts-quietly-confirm-mmr-vaccine-causes-autism/,,
Vitamin D,autism vitamin d' 23B views,,,https://protocolocoimbradrcicerogalli.com/,,,
,protocolo coimbra autismo' 404.7M views,,,,,,
heavy metals,autism caused by heavy metals' 4.2M views,,,,,,
turpentine,turpentine cure' 7.9M views,,,https://www.earthclinic.com/remedies/turpentine-kerosene.html?toc=Autism&ratingvalue=5&sortby=latest,https://www.mirror.co.uk/news/uk-news/mum-who-feeds-two-toddlers-11021350,,
Bentonite clay baths,bentonite clay autism' 22.9B views,,,,,,
auditory integration training,,,,,,,
camel milk,camel milk autism' 44.2M views,,,,,,
Neurofeedback,,,,,,,
Nicotine patches,,,,,,,
omega‑3,,,,,,,
Oxytocin ,autism oxytocin' 155.1M views,,,,,,
secretin,,,,,https://www.dailymail.co.uk/health/article-4135/Autism-The-Secretin-Solution.html,,
Stem-cell,stem cell autism' 22.8B views,,,,,,
Ayurvedic therapy,,,,,https://www.lybrate.com/topic/ayurveda-and-autism-a5a7/c5e2b0b429e3949c4b78e16801c1bcd5,,
Ayurvedic therapy,,,,,https://www.newindianexpress.com/lifestyle/health/2018/jul/15/ayurveda-cure-for-autism-1842419.html,,
Rerum,,,,https://immuno-therapy.biz/rerum,,,
Holistic,,,,https://londonresilience.com/asd-lp-220223/,,,
,,,,https://www.youtube.com/watch?v=coYJF0DIt0Q,,,
Craniosacral Therapy,,,,https://www.autismparentingmagazine.com/craniosacral-therapy-for-asd/,https://freyamm2.wixsite.com/curingautism,,
Medical medium protocol,,,,https://www.medicalmedium.com/blog/medical-medium-heavy-metal-detox,,,
,,,,,,,
General good Media articles on cures,,,,,,,
https://www.mirror.co.uk/news/uk-news/dangerous-cures-autism-still-being-12278004,,,,,,,
https://www.buzzfeed.com/tomchivers/how-online-filter-bubbles-are-making-parents-of-autistic?utm_term=.crYxD1V4p#.ceGJNLzxM,,,,,,,
https://www.scientificamerican.com/article/desperate-for-an-autism-cure/,,,,,,,
Packing,https://www.discovermagazine.com/mind/packing-autistic-kids-a-french-scandal,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Diets and Autism,"Miracle Mineral Solution, MMS",Chelation,Cannabis,Vaccines,GcMAF,CEASE therapy,Hyperbaric oxygen therapy
Websites selling diets and supplements:,Websites selling MMS:,,Articles/blogs on cannabis as treatment,Articles/blogs on vaccine as autism cause,Websites selling GcMAF:,Websites selling CEASE :,
,http://miracle-mineral-supplement.wikidot.com/start,,https://autismwithcannabis.wordpress.com/?fbclid=IwAR2vgv60-UThi3gRb3o7sFgbeZnA5v5atPQ9eRRDNNRtinFuPS42bDTnduk,https://nexusnewsfeed.com/article/human-rights/researchers-show-where-the-aluminum-travels-to-in-the-body-and-stays-after-vaccination/,www.GcMAF.eu; www.immunobiotech.eu; www.immunocentre.eu; www.petgcmaf.com; www.firstimmune.fr; www.firstimmune.de; www.firstimmune.it; www.gcmaf.gr; www.gcmaf.se; www.gcmaf.es; www.gcmaf.ru; www.gcmaf.pl,http://www.cease-therapy.com/,
Articles/blogs on diet as treatment,Articles/blogs on MMS as treatment,,,,Articles/blogs on GcMAF,Articles/blogs on CEASE ,
https://www.medicalmedium.com/blog/medical-medium-heavy-metal-detox,https://jimhumble.co/,https://www.nbcnews.com/id/wbna13102473,,https://web.archive.org/web/20130715120457/http://www.gcmaf.eu/info/,https://www.facebook.com/SaiseiMiraiClinics/posts/gcmaf-therapy-for-autismautism-spectrum-disorders-asd-are-neurodevelopmental-dis/1719481604796823/,,https://www.nationalhyperbaric.com/hbot-treatments-and-conditions/autism
https://www.naturalautismsupport.com/blog/healing-autism-naturally-with-home-treatment,https://www.mikeandrewshomeopathy.co.uk/the-boy-who-stimmed-too-much/,,,,,,
https://rodaleinstitute.org/blog/healing-autism-with-organic-food-one-familys-amazing-story/,https://www.instagram.com/iamkerririvera/?hl=en,,,,,,
https://draxe.com/health/autism-natural-treatment/,https://www.brighteon.com/61c73d4e-0491-4238-a9c5-2f9dc4d7a07c,,,,,,
https://nypost.com/2015/06/17/is-diet-the-key-to-curing-autism/,https://kerririvera.com/,,,,,,
,https://www.autismone.org/content/38-children-recovered-20-months-mms,,Facebook,,Facebook ,,
Youtube,https://www.naturalnews.com/2020-07-05-autism-expert-explains-mechanism-behind-chlorine-dioxide.html,,https://www.facebook.com/TexasMAMMAs/,,https://www.facebook.com/SaiseiMiraiClinics/posts/gcmaf-therapy-for-autismautism-spectrum-disorders-asd-are-neurodevelopmental-dis/1719481604796823/,,
https://www.youtube.com/watch?v=coYJF0DIt0Q,,,,,,,
https://www.youtube.com/watch?v=DmH_2GT6VeA,,,,,,,
Tik tok,Tik Tok,,,,Tik tok,,
Autism diet' 22.9B views,MMS autism' 2.8B views,advanced trs spray autism' 11.2M views,,,Gcmaf' 1.2M views,,
Gluten free dairy free autism' 67.6M views,mms miracle mineral solution autism' 34.6M views,,,,,,
,"kerri rivera protocol autism
23.6B views",,,,,,
,,,,,,,
Articles warning against diet,Articles warning against MMS,Articles warning against chelation,,,,Articles warning against CEASE,
https://www.nbcnews.com/health/kids-health/cure-autism-not-so-fast-n1055921,https://www.mirror.co.uk/news/uk-news/secret-facebook-group-reveals-how-10944477,https://www.thetimes.co.uk/article/autistic-boy-5-dies-after-us-therapy-zcnxxj5kn0z,,https://www.thetimes.co.uk/article/autism-charity-chief-at-forefront-of-dangerous-anti-vaccine-campaign-f8x985zm6,,https://www.asa.org.uk/news/cease-therapy-claims-must-stop.html,
,https://www.theguardian.com/society/2016/jul/13/fake-cures-autism-prove-deadly,,,,,https://www.theguardian.com/society/2018/apr/27/more-than-120-homeopaths-trying-to-cure-autism-in-uk,
,https://www.nbcnews.com/tech/internet/moms-go-undercover-fight-fake-autism-cures-private-facebook-groups-n1007871,,,,,,
https://www.altogetherautism.org.nz/gluten-and-casein-free-diet-and-autism/,https://www.cbsnews.com/baltimore/news/taking-miracle-solution-as-cure-for-autism-or-cancer-is-the-same-as-drinking-bleach-fda-says/,,,,,,
,https://www.theguardian.com/science/blog/2015/jul/15/autism-how-unorthodox-treatments-can-exploit-the-vulnerable,,,,Isopathy,,
,https://www.wired.co.uk/article/amazon-autism-fake-cure-books,,,,https://nationalpost.com/news/homeopaths-make-outrageous-claims-diluted-doses-of-vaccines-can-cure-autism,,
,https://www.vice.com/en/article/v7m4bm/dont-call-911-in-private-fake-autism-experts-gave-dangerous-advice,,,,,,
,https://www.vice.com/en/article/z3xgm3/bleach-peddler-kerri-rivera-appears-to-have-been-raided-by-german-police,,,,,,
,https://www.vice.com/en/article/y3v7zw/bleach-peddler-kerri-rivera-appears-to-be-back-to-peddling-bleach-after-police-raid,,,,,,
,https://abc7.com/autism-church-of-bleach-genesis-ii-2/1578581/,,,,,,
,https://www.nbcchicago.com/news/local/chicago-woman-offers-controversial-miracle-treatment-for-autism/111922/,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
v,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
https://www.niehs.nih.gov/health/topics/conditions/autism/index.cfm,,,,,,,
https://molecularautism.biomedcentral.com/articles/10.1186/s13229-017-0121-4,,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5377970/,,,,,,,
https://vk.ovg.ox.ac.uk/mmr-vaccine#Key-vaccine-facts,,,,,,,
