"Note: In Scientific Publishing, Predatory publishing, also write-only publishing or deceptive publishing, is an exploitative academic publishing business model that involves charging publication fees to authors without checking articles for quality and legitimacy, and without providing editorial and publishing services that legitimate academic journals provide, whether open access or not.",
The Predatory Publishers List,The Predatory Journals List
1088 Email Press,Abstract and Applied Analysis
2425 Publishers,Academic Exchange Quarterly
A M Publishers,Academic Research Reviews
ABC Journals,Academy of Contemporary Research Journal (AOCRJ)
Abhinav,ACME Intellects
Academe Research Journals,Acoustics
Academia Publishing,Acta Advances in Agricultural Sciences (AAAS)
Academia Research,Acta de Gerencia Ciencia (CAGENA)
Academia Scholarly Journals (ASJ),Acta Kinesiologica
Academic and Business Research Institute,Acta Medica International
Academic and Scientific Publishing,Acta Neurologica Scandinavica
Academic Direct Publishing House,Acta Scientiae et Intellectus
Academic Journals,Acta Velit
Academic Journals and Research ACJAR,Active and Passive Electronic Components
Academic Journals Online (AJO),Actuators
"Academic Journals, Inc.",Adalya Journal (hijacker of a legitimate journal)
Academic Knowledge and Research Publishing,Administrative Sciences
Academic Organization for Advancement of Strategic and International Studies (Academic OASIS),Adolescents
"Academic Publications, Ltd.",Adsorption Science & Technology
"Academic Publications, Prime Publications (also here)",Advance Research Journal of Multidisciplinary Discoveries
"Academic Research in Science, Engineering, Art and Management (ARSEAM)",Advanced Gut & Microbiome Research
Academic Research Journals,Advances in Aerospace Science and Technology
Academic Research Publishers (ARPUB),Advances in Aerospace Science and Technology (AAST)
Academic Research Publishing Agency,Advances in Aging Research
Academic Research Publishing Group,Advances in Agriculture
Academic Research Publishing House,Advances in Alzheimer's Disease
Academic Scholars Publishing House,Advances in Anthropology
Academic Sciences,Advances in Applied Sociology
Academic Solutions (child of Academic Publications Ltd. and Dynamic Publishers),Advances in Astronomy
Academic Star Publishing Company (also here),Advances in Biological Chemistry
Academic Web Publishers (AWP),Advances in Biomedicine and Pharmacy (ABP)
Academic World Education & Research Center,Advances in Bioscience and Biotechnology
AcademicDirect Publishing House,Advances in Breast Cancer Research
Academicians’ Research Center (ARC) (ARC Journals),Advances in Cell and Gene Therapy
Academics World,Advances in Chemical Engineering and Science
Academy for Environment and Life Sciences,Advances in Civil Engineering
Academy Journals,Advances in Computed Tomography
Academy of Business & Scientific Research (ABSR),Advances in Condensed Matter Physics
Academy of IRMBR International Research in Management and Business Realities,Advances in Entomology
Academy of Knowledge Process,Advances in Enzyme Research
Academy of Science and Engineering (ASE),Advances in Fixed Point Theory (published by SCIK Publishing Corporation)
Academy of Science and Social Science (ASSS),Advances in Forestry Letter
Academy of Scientific and Applied Research (ASAAR),Advances in Fuzzy Systems
Academy Publish,Advances in Hematology
Access International Journals,Advances in High Energy Physics
Access Journals,Advances in Historical Studies
Access Publishers,Advances in Human-Computer Interaction
ACT Publishing,Advances in Infectious Diseases
ACTA Press,Advances in Internet of Things
Acta Scientific,Advances in Journalism and Communication
Acta Scientifica,Advances in Linear Algebra & Matrix Theory
AD Publication,Advances in Literary Study
AD Publications,Advances in Lung Cancer
Ada Lovelace Publications,Advances in Materials Physics and Chemistry
Advance Educational Institute & Research Centre (AEIRC),Advances in Materials Science and Engineering
Advance Journals,Advances in Mathematical Physics
Advanced Institute of Convergence Information Technology (AICIT),"Advances in Medical, Dental and Health Sciences (AMDHS)"
Advanced Journals,Advances in Medicine
Advanced Research Journals,Advances in Meteorology
Advanced Research Publications,Advances in Microbiology
Advanced Research Society for Science and Sociology (ARSSS),Advances in Molecular Imaging
Advanced Scholars Journals,Advances in Multimedia
Advanced Science and Engineering Technology Institute (ASET),Advances in Nanoparticles
Advanced Science Research Journals,Advances in Operations Research
Advanced Technology & Science (ATScience),Advances in Orthopedics
Advancement and Development in Technology International (Aditi),Advances in Parkinson's Disease
Advancements in Science,Advances in Pharmacological and Pharmaceutical Sciences
Adyan Academic Press,Advances in Physical Education
AENSI (American-Eurasian Network for Scientific Information),Advances in Polymer Technology
African Research Review (AFRREV),Advances in Preventive Medicine
AgiAl Publishing House,Advances in Public Health
Agropub,Advances in Pure Mathematics
AGU Publications,Advances in Remote Sensing
AI Publications,Advances in Reproductive Sciences
AINSTIN Knowledge Hub,Advances in Respiratory Medicine
